LoanNumber,LoanAmount,Term,InterestRate,MonthlyInstallment,IsEmployed,MonthsOfEmployementExperience,IsHomeowner,AverageCreditScore,OpenCreditLines,TotalInquiries,AnyDelinquencies,AvailableBankcardCredit,DebtToIncomeRatio,StatedMonthlyIncome,GoodLoan
19141,9425,36,0.158,330.43,1,2,1,650,4,3,1,1500,0.17,3083.33,1
20907,1000,36,0.1325,33.81,1,19,0,650,2,5,1,2580,0.27,1666.67,1
125045,4000,36,0.1435,137.39,1,1,0,690,7,4,0,3626,0.18,2416.67,0
63982,4000,36,0.3177,173.71,1,121,1,710,9,1,0,178,0.49,5500,0
23565,3000,36,0.2075,112.64,1,36,0,630,4,8,1,1366,0.09,3750,1
89204,2000,36,0.2419,78.67,1,3,0,690,7,0,0,607,0.39,2500,0
85538,4000,60,0.2809,124.76,1,25,0,670,6,3,0,3619,0.11,3885.92,1
43110,4000,36,0.092,0,1,10,1,710,16,8,0,30794,0.26,6666.67,1
60054,10000,36,0.0999,322.62,1,44,0,750,4,0,1,25779,0.11,3750,1
44987,16000,36,0.0785,500.28,1,7,0,770,3,3,0,3859,0.05,13083.33,1
35508,4000,36,0.15,138.66,1,32,0,670,9,7,0,2031,0.27,3166.67,1
59180,2000,36,0.2552,80.07,1,155,1,730,14,11,0,4444,0.15,9166.67,0
19632,7000,36,0.16,244.47,1,80,0,650,7,2,0,10778,0.37,2750,1
13475,23500,36,0.23,909.68,1,16,0,610,10,6,0,5874,0.59,3891.67,0
12918,1000,36,0.15,0,0,1,0,630,3,2,1,19407,0.2,860,1
50675,3000,12,0.2669,287.6,1,70,0,610,13,7,0,955,0.28,4777,1
9365,1000,36,0.197,37.01,1,34,1,590,15,23,1,181,0.45,2750,1
49827,4500,36,0.2599,181.28,1,34,0,670,7,5,1,4814,0.1,8333.33,1
47762,2500,36,0.3199,108.87,1,213,1,690,5,3,1,2006,0.21,5314.25,0
94640,4000,36,0.2859,166.73,1,72,0,670,8,2,0,2408,0.26,4750,0
47313,5600,36,0.1099,183.31,1,21,1,770,15,5,0,7682,0.18,6466.67,1
95823,4000,36,0.2932,168.32,1,47,0,610,9,5,0,535,0.12,4166.67,0
67600,4000,36,0.2958,168.89,1,117,0,670,9,3,0,33982,0.35,3250,0
67158,4000,36,0.2999,169.78,1,127,1,650,28,10,0,3031,0.4,3333.33,1
56294,4000,36,0.3199,174.2,1,5,1,710,6,4,0,43,0.23,6250,1
45977,3500,36,0.322,152.83,1,25,0,710,5,2,0,1193,0.3,2250,1
67856,7000,60,0.2489,205.01,1,166,1,690,15,2,0,10975,0.43,5416.67,0
24554,2932,36,0.1895,107.4,1,193,1,570,17,18,0,4259,0.36,7416.67,0
38476,10000,36,0.1338,322.34,1,94,1,730,7,4,0,9420,0.16,15000,1
64080,4000,36,0.3177,173.71,1,84,0,730,12,9,0,16554,0.54,2833.33,0
40424,2000,36,0.1234,66.75,1,279,1,670,9,3,0,596,0.18,5833.33,1
45654,3000,36,0.31,129,1,24,1,650,8,3,1,258,0.29,4666.67,1
63730,4000,36,0.3177,173.71,1,56,1,750,6,4,0,40,0.45,2583.33,0
7968,3000,36,0.29,0,1,37,0,530,0,8,1,0,0.04,4166.67,1
18696,13400,36,0.1601,471.17,1,27,1,670,13,3,0,1372,0.16,7083.33,1
28679,2000,36,0.0885,12.97,1,18,0,750,6,1,0,113,0.1,2500,1
26676,4000,36,0.14,136.71,1,180,1,710,10,9,0,443,0.31,6250,1
36711,12000,36,0.1252,401.56,1,35,0,790,5,6,0,8486,0.19,2293.33,1
28744,2551,36,0.2745,104.76,1,47,0,530,4,18,1,0,0.17,2946.67,0
101842,10000,60,0.2225,277.61,1,52,1,670,15,3,0,4034,0.37,4833.33,1
28715,8600,36,0.124,287.29,1,117,1,690,8,3,0,3055,0.34,4161.92,1
33618,3000,36,0.1945,108.52,1,33,0,670,3,8,1,4368,0.11,3333.33,1
62391,3000,36,0.2999,127.34,1,126,1,630,8,5,1,928,0.35,3750,0
62579,2500,36,0.2999,106.12,1,111,0,610,6,2,0,76,0.41,1835.42,0
38992,5000,36,0.1009,161.55,1,20,0,770,6,1,0,7176,0.04,4833.33,1
29911,2500,36,0.1445,85.99,1,20,1,710,6,24,1,3578,0.11,4750,0
38616,2200,36,0.0712,68.05,1,259,0,830,8,1,0,76764,0.09,4169.33,1
